atleta_id,apelido,posicao_id,preco,jogo_id,rodada,pontos,casa
1,Alisson,1,5.5,1001,1,8.0,1
1,Alisson,1,5.5,1002,2,7.5,0
1,Alisson,1,5.5,1003,3,8.5,1
1,Alisson,1,5.5,1004,4,6.0,0
1,Alisson,1,5.5,1005,5,9.0,1
1,Alisson,1,5.5,1006,6,7.0,1
2,Thiago Silva,3,7.0,1001,1,6.5,1
2,Thiago Silva,3,7.0,1002,2,7.0,0
2,Thiago Silva,3,7.0,1003,3,5.5,1
2,Thiago Silva,3,7.0,1004,4,6.0,0
2,Thiago Silva,3,7.0,1005,5,7.5,1
2,Thiago Silva,3,7.0,1006,6,6.5,1
3,Neymar,5,15.0,1001,1,12.5,1
3,Neymar,5,15.0,1002,2,14.0,0
3,Neymar,5,15.0,1003,3,11.5,1
3,Neymar,5,15.0,1004,4,13.0,0
3,Neymar,5,15.0,1005,5,15.5,1
3,Neymar,5,15.0,1006,6,12.0,1
4,Vinicius Jr,5,14.0,1001,1,11.0,1
4,Vinicius Jr,5,14.0,1002,2,12.5,0
4,Vinicius Jr,5,14.0,1003,3,10.5,1
4,Vinicius Jr,5,14.0,1004,4,11.5,0
4,Vinicius Jr,5,14.0,1005,5,14.0,1
4,Vinicius Jr,5,14.0,1006,6,10.0,1
5,Rodrygo,5,10.0,1001,1,8.5,1
5,Rodrygo,5,10.0,1002,2,9.0,0
5,Rodrygo,5,10.0,1003,3,7.5,1
5,Rodrygo,5,10.0,1004,4,8.0,0
5,Rodrygo,5,10.0,1005,5,9.5,1
5,Rodrygo,5,10.0,1006,6,8.0,1
